kea;reference
Stimadu leitor / Es livru e puramenti fikson, / e skrebedu di forma livri / sem pretenson di fla / ma e asi ki varianti di / Santiagu debi ser skritu. / Ta bem ten erus gramatikal / ki bu ta ba nota o palavras / ki bu ta uza diferenti, / ma pa mi, mas inpurtanti / e djuda na dizenvolvimentu / di nos Kriolu.;@heilmairCriouloPortuguesEm2022
N'gaju fika fudido, / nha patron strilia pamodi / tenpu ki-n toma pa es asuntu, / e staba tantu xatiadu ku mi / k'e da-n ku garafa i / kuazi dja panhaba mi na rostu;@heilmairCriouloPortuguesEm2022
Es koza tâ mariode / No titâ stagná, / Ó deus spiá pa nos / Mindel mestê bosê / Es koza tâ marióde // Vida konplikóde / Jovens sen futur / Trabóie no ka ten / Es koza ta marióde;@heilmairCriouloPortuguesEm2022
Nobega bu miniu / Mara bu txubará / Mininu 14 anu / Mara bu txubará / Txeru leti máma / Mara bu txubará / Mininu meste skóla / Mara bu txubará // Mininu ka ten / Kuipa / E ka ten / Kuipa / E ka ten / Kuipa óóóó / Nau E ka ten / Kuipa // éééé kunpandri / Mara bu txubará;@heilmairCriouloPortuguesEm2022
Oras ki mudjer dja diskansa, ki mininu djá ká konpodu, es ta kunsa txomadu;@heilmairCriouloPortuguesEm2022
Esse prat-prat na txon ma na kubertura de kaza larâ na Stanxa, branjí Lunbóna, aker djargódes ma tude redondéza, nun pé de txuba jeral;@heilmairCriouloPortuguesEm2022
Óra ke solista terminâ sole, ta bróde tude da cappo, desde u prinsipe y ta repetide tónte vez ke jente kizer;@heilmairCriouloPortuguesEm2022
Abiliu labánta otu bes e sai ta kóre, ti k'e odja tres bódi grandóna si diánti, ku ses bárba ta rásta na txon, y kada un dés ku dos txifróna pa diánti. La dja e ka aguenta más, e kai na txon, séku ruse, sen xintidu.;@heilmairCriouloPortuguesEm2022
Más di sinku bes, és prende Djon di Mána, más di sinku bes e fuji, e disparse misteriózamenti y bá pa káza, sen médu nem temor. Gentis duzuspera nton y és razolve mánda kes xéfis di rabeladus (pamódi tinha otus kumunidádi di rabeládus, sima tugas ta flába, spadjádu pa ilia di santiágu) pa otus ilia;@heilmairCriouloPortuguesEm2022

